set,generator,training,condition,model,severity,n_phish,recall_05,recall_05_lo,recall_05_hi,recall_fpr,recall_fpr_lo,recall_fpr_hi,pr_auc,pr_auc_lo,pr_auc_hi,roc_auc,roc_auc_lo,roc_auc_hi,fpr_threshold
clean,na,baseline,original,distilbert,0.0,1078,0.9888682745825603,0.9824898236822834,0.9943778034480504,0.9925788497217068,0.9872466148344583,0.9971969749366716,0.9985542828224344,0.9975580781034731,0.9993917875817545,0.9995979803672111,0.9992745893376721,0.9998521032683674,0.0063342548627407045
degradation,haiku,baseline,original,distilbert,0.0,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9990335656224828,0.9976790426277532,0.9999048639387198,0.9999443998019496,0.9998643086326213,0.9999944034233069,0.0063342548627407045
degradation,haiku,baseline,original,distilbert,0.25,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9993828161926487,0.9984125759599534,0.9999867536740376,0.999964286004172,0.9999061817165834,0.9999992001917919,0.0063342548627407045
degradation,haiku,baseline,original,distilbert,0.5,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9990432146109084,0.997501271036922,0.999966700026329,0.9999456173245347,0.999857423225085,0.9999982143462953,0.0063342548627407045
degradation,haiku,baseline,original,distilbert,0.75,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9991187269829477,0.9977626882916648,0.9999716298377915,0.9999496757331515,0.9998748499945392,0.9999983478174669,0.0063342548627407045
degradation,haiku,baseline,original,distilbert,1.0,270,1.0,1.0,1.0,1.0,1.0,1.0,0.9984436306669813,0.9960713130441141,0.9998971905794971,0.9999139617373236,0.9997829247963375,0.9999935769256775,0.0063342548627407045
degradation,gemini,baseline,original,distilbert,0.0,308,0.9967532467532467,0.9892453709095144,1.0,0.9967532467532467,0.9892453709095144,1.0,0.9989186209755013,0.9973937469995612,0.9998859325941769,0.9999235095388942,0.9998159515947244,0.9999917875218493,0.0063342548627407045
degradation,gemini,baseline,original,distilbert,0.25,308,0.9967532467532467,0.9892453709095144,1.0,0.9967532467532467,0.9892453709095144,1.0,0.9990302230032759,0.9975405141974557,0.9999447523524033,0.9999309807002115,0.9998254243070398,0.9999963094982686,0.0063342548627407045
degradation,gemini,baseline,original,distilbert,0.5,308,0.9967532467532467,0.9892453709095144,1.0,1.0,1.0,1.0,0.9992254157463059,0.9980108447197983,0.9999909648602565,0.9999466345620192,0.9998632330622944,0.9999993456832543,0.0063342548627407045
degradation,gemini,baseline,original,distilbert,0.75,308,0.9967532467532467,0.9892453709095144,1.0,1.0,1.0,1.0,0.9993735246451336,0.9983759355588367,0.9999901058529023,0.9999565961104422,0.9998867410242933,0.9999993081614443,0.0063342548627407045
degradation,gemini,baseline,original,distilbert,1.0,308,0.9967532467532467,0.9892453709095144,1.0,0.9967532467532467,0.9892453709095144,1.0,0.9989290743003705,0.9973930802787389,0.999902180439234,0.9999231537693077,0.9998118474832525,0.9999933027003733,0.0063342548627407045
degradation,haiku,baseline,url_masked,distilbert,0.0,270,0.9962962962962963,0.9880478087649402,1.0,1.0,1.0,1.0,0.9970798234917577,0.9946927814194307,0.9989913846005904,0.9998279234746472,0.9996904564118424,0.9999398204378029,0.004130047694780071
degradation,haiku,baseline,url_masked,distilbert,0.25,270,0.9962962962962963,0.9880478087649402,1.0,1.0,1.0,1.0,0.9979919071493132,0.9961844204734555,0.9994255324980366,0.9998782477414956,0.999767785517788,0.9999659734760841,0.004130047694780071
