corpus,set,generator,training,condition,model,severity,n_phish,recall_05,recall_05_lo,recall_05_hi,recall_fpr,recall_fpr_lo,recall_fpr_hi,pr_auc,pr_auc_lo,pr_auc_hi,roc_auc,roc_auc_lo,roc_auc_hi,fpr_threshold
ceas08,clean,na,baseline,original,distilbert,0.0,4328,0.9974584103512015,0.9958216785026269,0.9988396514251996,0.9997689463955638,0.9992986884127012,1.0,0.9999758957534531,0.9999440759987734,0.9999953646091002,0.9999688991970922,0.9999270699676683,0.9999942726824997,0.0002961190338828589
ceas08,degradation,haiku,baseline,original,distilbert,0.0,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9997355896351137,0.9984330618212197,1.0000000000000002,0.9999952647479425,0.9999720386612111,1.0,0.0002961190338828589
ceas08,degradation,haiku,baseline,original,distilbert,0.25,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9994668446740818,0.9973517190749841,1.0,0.9999905294958851,0.9999547734723283,1.0,0.0002961190338828589
ceas08,degradation,haiku,baseline,original,distilbert,0.5,61,0.9508196721311475,0.8888888888888888,1.0,1.0,1.0,1.0,0.9893179713207725,0.9745554363345219,0.9983766319653916,0.9998011194135864,0.9995456667252365,0.9999679874002825,0.0002961190338828589
ceas08,degradation,haiku,baseline,original,distilbert,0.75,61,0.9016393442622951,0.8166666666666667,0.96875,1.0,1.0,1.0,0.9793055993427277,0.9571034695236714,0.993900503053505,0.9996069740792302,0.9991902431300969,0.999887393077906,0.0002961190338828589
ceas08,degradation,haiku,baseline,original,distilbert,1.0,61,0.8524590163934426,0.7560630464795214,0.9333333333333333,0.9836065573770492,0.9454545454545454,1.0,0.9530320126190523,0.9106543940997014,0.9834580483084507,0.9990008618158746,0.9980578347204428,0.9996722949372632,0.0002961190338828589
ceas08,degradation,haiku,baseline,url_masked,distilbert,0.0,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9952868091366017,0.9866185622122,0.9999999999999999,0.9999147654629656,0.9997622881497595,1.0,0.0004740874611889004
ceas08,degradation,haiku,baseline,url_masked,distilbert,0.25,61,0.9508196721311475,0.8870891661594644,1.0,1.0,1.0,1.0,0.9855514580967272,0.9675385215470675,0.996860933485281,0.9997348258847819,0.9994220432109954,0.999945650240594,0.0004740874611889004
ceas08,degradation,haiku,baseline,url_masked,distilbert,0.5,61,0.8032786885245902,0.6922727272727273,0.9056603773584906,0.9836065573770492,0.9433827493261456,1.0,0.9426663470273975,0.8958790792793734,0.9776008435804444,0.9986125711471622,0.9973681386138881,0.9995538666346303,0.0004740874611889004
ceas08,degradation,haiku,baseline,url_masked,distilbert,0.75,61,0.8852459016393442,0.7962301587301588,0.9577611502347417,0.9508196721311475,0.8923076923076924,1.0,0.936698025719231,0.8802762445480827,0.9766738658728756,0.9985415423663002,0.997283958145853,0.9995029938417829,0.0004740874611889004
ceas08,degradation,haiku,baseline,url_masked,distilbert,1.0,61,0.5737704918032787,0.449981884057971,0.6825493612078978,0.8360655737704918,0.7343489583333334,0.9206582633053221,0.7792500371933059,0.6631389284500029,0.8825000508035978,0.9941756399693156,0.9908976014877956,0.9967772858418029,0.0004740874611889004
