corpus,condition,model,severity,n_phish,recall_05,recall_05_lo,recall_05_hi,recall_fpr,recall_fpr_lo,recall_fpr_hi,pr_auc,pr_auc_lo,pr_auc_hi,roc_auc,roc_auc_lo,roc_auc_hi,fpr_threshold
ceas08,original,logreg,0.0,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9976355723703718,0.9926613702058121,1.0,0.9999573827314827,0.9998678365441562,1.0,0.3468420661821628
ceas08,original,random_forest,0.0,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9975863665189204,0.9920633172322556,1.0,0.9999621179835403,0.9998815121929051,1.0,0.41333333333333333
ceas08,original,gradient_boosting,0.0,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9600400807886105,0.9163032168954082,0.9908079082449989,0.9992802416872649,0.9985362965864473,0.999809636441365,0.6429716672071553
ceas08,original,logreg,0.25,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9944941332784984,0.985755221760035,0.9996374544852699,0.999900559706793,0.9997470165674363,0.999994355254954,0.3468420661821628
ceas08,original,random_forest,0.25,61,0.9836065573770492,0.9473508771929824,1.0,1.0,1.0,1.0,0.9721120424301449,0.9408452731802833,0.9950748183071658,0.9995383129243969,0.9990703126873157,0.9999063699820752,0.41333333333333333
ceas08,original,gradient_boosting,0.25,61,1.0,1.0,1.0,0.9836065573770492,0.9473508771929824,1.0,0.946816273509998,0.8968854596416387,0.9836731428287397,0.9989203625308974,0.9979337123232571,0.9996530331582076,0.6429716672071553
ceas08,original,logreg,0.5,61,0.9508196721311475,0.8903729071537291,1.0,1.0,1.0,1.0,0.923279038772969,0.8587220929705609,0.9719082426601788,0.9987688344650585,0.9977882903213952,0.9994838427832695,0.3468420661821628
ceas08,original,random_forest,0.5,61,0.7049180327868853,0.5882119514472456,0.8088615618661258,0.8852459016393442,0.8,0.9622816212438854,0.6967854438248156,0.576292490345689,0.8306375812200982,0.9951084846246365,0.9926848924911537,0.9971807893173752,0.41333333333333333
ceas08,original,gradient_boosting,0.5,61,0.8524590163934426,0.7550924143242203,0.9344526705446854,0.7377049180327869,0.6249487704918033,0.8444600938967136,0.6975144150522712,0.5699866879602382,0.8122669967096704,0.990306939038365,0.9855999556615828,0.9941796143199337,0.6429716672071553
ceas08,original,logreg,0.75,61,0.7377049180327869,0.6211990595611285,0.84375,0.9180327868852459,0.8437088815789474,0.9807692307692307,0.7232846372242083,0.6012412728815407,0.853404780612857,0.994829104753246,0.9916750752292962,0.9973575479009958,0.3468420661821628
ceas08,original,random_forest,0.75,61,0.2786885245901639,0.16393442622950818,0.3906954405737704,0.6065573770491803,0.4782091097308489,0.7323943661971831,0.4433565183035152,0.3547261508317635,0.5659388815366149,0.9886898504607401,0.9849831104273639,0.99199122618507,0.41333333333333333
ceas08,original,gradient_boosting,0.75,61,0.639344262295082,0.5106174384647476,0.7556182795698924,0.3770491803278688,0.24561403508771928,0.5,0.35934210521378723,0.2634846895317737,0.4828343577233194,0.9779810779327783,0.9698513189897492,0.9846508880818156,0.6429716672071553
ceas08,original,logreg,1.0,61,0.7704918032786885,0.6595234625473623,0.875,0.9344262295081968,0.8656207598371778,0.9857142857142858,0.6979757596007514,0.581862278278229,0.8454358537185523,0.9957430084003371,0.993587508836177,0.9976385161827924,0.3468420661821628
ceas08,original,random_forest,1.0,61,0.4426229508196721,0.32651952085181896,0.5645161290322581,0.7868852459016393,0.6792452830188679,0.8870967741935484,0.5321592520574958,0.43568010850909394,0.6647225925704415,0.992385714691593,0.9896689321405988,0.9949135349858443,0.41333333333333333
ceas08,original,gradient_boosting,1.0,61,0.7377049180327869,0.6249547101449275,0.8393035714285715,0.5573770491803278,0.4422256097560976,0.6793096054888507,0.4507229821395016,0.35330209105507576,0.5847265230607449,0.985765832315254,0.9808941209887457,0.9900168778095786,0.6429716672071553
ceas08,url_masked,logreg,0.0,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9923718520335155,0.9796926090942434,1.0,0.9998721481944484,0.9996531660553777,1.0,0.3937968020912181
ceas08,url_masked,random_forest,0.0,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9978063490298337,0.9917075491512105,1.0,0.9999644856095691,0.9998656278360868,1.0,0.4412999999999996
ceas08,url_masked,gradient_boosting,0.0,61,1.0,1.0,1.0,1.0,1.0,1.0,0.9449771755128269,0.8869986433395812,0.9841027887249568,0.9990387438323342,0.9982109079832521,0.9996580275907326,0.6462647228505864
